"","Adipocytes","Astrocytes","B_cells.Class.switched_memory","B_cells.Memory","Chondrocytes","CLP","CMP","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Erythrocytes","Fibroblasts","GMP","HSC","Keratinocytes","Macrophages","Macrophages.M1","Macrophages.M2","Megakaryocytes","Melanocytes","MEP","Mesangial_cells","Monocytes","MPP","mv_Endothelial_cells","Myocytes","naive_B_cells","Neurons","Neutrophils","NK_cells","Pericytes","Plasma_cells","Preadipocytes","Skeletal_muscle","Smooth_muscle_cells","T_cells.CD4.","T_cells.CD4._central_memory","T_cells.CD4._effector_memory","T_cells.CD8.","T_cells.CD8._Central_memory","T_cells.CD8._effector_memory","T_cells.Tregs"
"559","MPST","APOE","TIAM2","TMEM71","ANKRD36B","RPL39L","KIF2C","CCL19","FERMT2","CDKN2D","FBN1","NUDT7","DUSP1","SASH3","PTPRCAP","FRMD6","TXNIP","SCARNA23","TMEM140","GTPBP2","DMXL2","FAM92A1","SYNGR2","RPL18A","SATB1","CETP","NCS1","SLC17A9",NA,"SLC2A3","LY6E","TYMP","MYO1D","INSIG1",NA,"EPB41","FOXO1","CYFIP2","H1FX","DGKZ","IL2RA","ZNF831","FOSB"
"560","UTRN","CHST7","ACSF2","DNAJC5B","CDON","SIAE","NME1-NME2","PLXNB2","PHACTR2","TFF3","FST","OSTC","LIMD2","EIF4A3","SNHG3","STC2","UCHL1","VDAC1","WFIKKN2","HIST1H2BH","PRDX1","PPA1","SEMA3F","LPAR6","TTC38","PRDX1","SPTAN1","UXS1",NA,"AKNA","SUSD1","ADM","CRIP1","SPTAN1",NA,"PLEKHA8P1","PLK3","GABARAPL1","IFNGR2","RALGPS2","RPLP0","PLCB1","STMN1"
"561","NRP1","ENTPD7","LCP2","KLRC4-KLRK1","PLOD1","ZNF256","PIK3AP1","IFITM1","MVP","MARCH1","PIEZO1","RPL10A","RPLP1","ANXA2","SLC2A5","SAT1","ARHGAP26","HIST1H2AB","AQP3","LOXL3","TDRD7","MCTP1","DAPK1","CLIC1","CLIC2","SEPW1","STAC3","FBL",NA,"RNASEL","EMB","TUBA1C","UBE2J1","TCIRG1",NA,"ITGA11","CLUAP1","PYHIN1","RASAL3","APOL3","HIST1H3A","ATP8A1","IFNGR2"
"562","CTSK","F2R","RPS20","RPS19","SEPT11","TPD52L1","KIF23","CDYL2","CTSS","NLRP1","CBLC","MBNL2","C12ORF57","APBA3","RAB38","FOS","ATP6V0A1","CMKLR1","EEPD1","MAN2A1","CDK1","ALDH18A1","LRRC20","COMT","MPST","TSPAN5","F2R","LCN10",NA,"SNORA66","KIR2DL1","TWIST1","PMEPA1","AURKB",NA,"KITLG","DSC1","AK5","RCSD1","PER1","LGALS3BP","TNFAIP3","MFNG"
"563","FNDC4","SCARNA12","FAM107B","TGIF1","APP","OSBPL11","GPSM2","CFLAR","LRIG1","PIM2","MT1L","MDH1","CNTNAP1","NAMPT","TMEM14C","RHCG","CCDC88A","HLA-E","PDE4DIP","BUB1B","RANBP1","PVT1","GLIS2","RELT","OLA1","MT2A","GDF15","MMD",NA,"CLIC1","HLA-A","ADAM12","REXO2","CCDC80",NA,"HIST1H2AE","NCK2","KCNQ1","RPL26","DENND2D","CRIP2","GPR52","C12ORF57"
"564","ABLIM3","CDC20","SLC2A1","GGA2","CRISPLD2","PRDX1","OSTC","RAP2A","ADORA2A","NOD2","MT2A","SPA17","IL1R1","HMGXB4","TUBA1A","CBR1","NQO1","EPB41L3","AKR1A1","MOB3C","HIST1H4A","THRB","GYPC","IL6R","FAM92A1","COL12A1","MGLL","NUP88",NA,"KIF13A","PEAK1","ANGPT1","DSTN","KIF2C",NA,"MEIS3","KLHL6","RCSD1","SGTB","MEST","HAPLN3","CFH","GSTM1"
"565","AKAP2","PDGFRB","TNFAIP8","PTPRE","CD44","LGALS3BP","RUNX2","ATP8A1","RPL10A","DEF8","NETO2","TUBA1A","SPTBN1","NMI","FOS","RUVBL2","RPLP0","PAQR5","ACOT7","LYAR","UBA7","TRPV2","PAFAH1B3","VASP","LINC00152","ITGB1","HIST2H2AA4","PLCL2",NA,"NOTCH1","RPS4X","MRPL23","MYL6B","NDC80",NA,"NTM","VSIG1","C12ORF57","CCL4","RPL22","TCEA3","HDAC9","NET1"
"566","ANG","AHNAK","TP53INP1","SNED1","SH3TC1","RNFT2","SNHG8","CIITA","TOP2A","MINK1","SDF4","BNIP3L","ASPH","STAR","PHF20","RPL35","SPN","HBEGF","C2ORF71","KIF18A","PTPN13","RPL29","TMC6","PTPLAD2","SNX16","SCARNA6","MRPL23","RLTPR",NA,"TGFA","CLIP4","GRK5","DNAJB9","CCNF",NA,"PID1","THEM4","ACVR2A","IL6ST","FLNB","ITGA5","RASSF5","NR1D1"
"567","ADH5","RAC3","ZDHHC23","RBM47","RPLP0","GSTO2","FAM117A","EMB","ARHGAP28","SPN","CALU","CDC25C","GRINA","BCL11A","RPL29","RPSAP52","ABI3","MGST3","S100A10","CKAP5","NCALD","UBA7","F3","SIGLEC9","TTTY15","HLA-E","STC1","FAM84B",NA,"KIAA0040","IRF5","HIST1H2AG","EPN1","CTNNA1",NA,"EGFR","ANXA6","CD82","SERINC5","RHPN1","SH2D2A","TPM2","CD84"
"568","EGFR","BST1","CD58","RPS17","SELENBP1","RPL10A","FLCN","P2RY10","KLF12","FAR2","HMGA2","TMBIM1","SLIT2","MGAT4A","NFIA","ACSS2","HSPB1","NRIP3","SCARNA1","PSMD14","TBX2","ALKBH7","HIST1H4I","PTGER2","AHNAK","LIMS2","YAP1","PPFIBP1",NA,"RHOB","CHN2","HMGA1","FAM102A","EGFLAM",NA,"SHFM1","MYEOV2","GNG2","EPHA1","RLTPR","ARAP2","DOCK10","LRRC8C"
"569","EGFLAM","CYP1B1","CD9","TEAD2","SUSD5","SYPL1","RPL22","RPLP0","SEC14L1","KDM4B","SGPP2","WDR12","TRIO","SYNJ2BP-COX16","SLC7A7","LSS","COX6C","FAM213B","VASP","CAP1","ESR2","S100A6","ISYNA1","RPS18","DUSP18","PIR","GBP2","NLRP1",NA,"ST8SIA4","GALNT3","CCDC144A","OSTC","FAR2",NA,"COLEC12","SFMBT2","MFNG","MYC","HIST1H2AH","BHLHE40","FGL2","HS3ST3A1"
"570","KLC1","PLEKHG4","HIST1H2AE","TRIM22","CD68","NUDT1","GSTP1","EDEM1","SGIP1","PPARA","IGFBP6","CASP8AP2","PALLD","TRH","KDM5D","LTBP4","GCHFR","GRINA","NDFIP2","SSB","PTGFRN","DDAH2","PKDCC","ID1","MGAT4A","TSPAN14","HSPB1","TMC8",NA,"CD177","KDM5D","ASS1","HLA-E","GSTM1",NA,"PDIA4","TAS2R30","EIF3E","TMEM71","PIGA","HLA-E","HLA-C","WEE1"
"571","LCP2","RPL39","CDK6","NFKBID","PYCR1","PSME2","NEK6","GBP5","CTHRC1","RAP1GAP2","HIST1H3G","MFHAS1","PEG10","TUBA1A","VIM","MAP7D1","PLAU","LXN","PDK4","CASP4","CD99","EXOSC4","COL12A1","IQSEC1","MYOM2","MRPL23","RPLP0","ZNF677",NA,"TRPM6","GPR125","CYP51A1","RPLP0","IGFBP3",NA,"ARHGEF25","LGALS3BP","NLRC5","RPS21","C12ORF57","ANK3","FAS","ACTA2"
"572","RGS5","KSR1","EIF2AK3","RGS16","SH3D19","SCCPDH","RRAGD","NFKBIA","PPP1R9A","DDIT4","TPBG","BCAP29","PPDPF","TXNIP","CD33","SHC1","RPSAP58","SDS","ABHD5","MYC","RPL41","DNAL4","SORBS3","LIPA","FAM65B","ARAP3","CAPN2","KLF3",NA,"SMAP2","SPATA13","HIST1H1D","P4HB","TMEM97",NA,"HIST1H3F","RPS26","AKNA","FAM102A","RPL13","SCARNA9","RHOC","DLEU2"
"573","ARHGEF6","TAX1BP3","S100A11","ABLIM1","SYNC","TPI1","S100A10","CLIC1","CCL14","EHBP1L1","SRPX2","SKAP2","USP53","FTH1","GLUL","MMP1","SLAMF9","GPR84","MRGPRF","IFI16","HIST1H2BC","RAB38","WT1","INPPL1","PIP4K2A","LDHB","MYO18B","KCNH8",NA,"CAMP","TTTY15","MYH9","EIF2AK3","PLOD2",NA,"PFKP","AMY2B","ATP2A3","ADAM8","RPS13","C1ORF228","ZNF605","FAM105A"
"574","PLSCR4","RBFOX2","RPS17","ZCCHC18","RBMS3","ZNF57","WDFY3","PNMA1","PDE3A","TNFRSF1A","CSRP2","CD70","HIST2H2AC","PRPS2","LUC7L3","ERRFI1","HAMP","HIST1H3F","RASGRP3","GTDC1","RUVBL2","RPL39L","NETO1","RPL13","MPZL2","MYH10","ALDH18A1","NFKBID",NA,"CSRNP1","CAPN2","NEAT1","SHMT2","PRR7",NA,"SVIL","C12ORF57","TMEM71","NR1D1","BCL2","SH3BGRL2","C10ORF128","HIST1H4L"
"575","EBF1","MXD3","USP53","KEAP1","MAGED1","OSBPL1A","HIST2H2BE","TUBB2A","FBXW5","ZSCAN18","SLC16A1","CLSPN","ICAM1","RPL23A","MSI2","SDF4","RNF141","PPP1R14B","COX6C","RPL10A","KIFC3","SLC25A20","CENPV","CPD","ARID5B","RGS3","CNN2","MYADM",NA,"SLAIN1","DUSP1","CLEC2B","SIPA1","ETV1",NA,"MRPL23","DNM2","RPL37","RCBTB2","IFITM3","ERI2","RRAS2","RPL35"
"576","PCK2","QPCT","LMNA","PITPNM2","TUBA1A","HSD17B11","DENND5A","CBR3","AMOTL2","SRGAP3","ACTN4","MYB","TMTC1","GSTP1","GCC2","TAX1BP3","SOAT1","SKIL","ANXA5","ELOVL1","NEAT1","MIIP","FAM114A1","CHMP4B","OSTC","TMSB4X","PPP2R3B","SIAH2",NA,"SULT1A1","HLA-C","SLC7A5","GOLGA8B","DTNA",NA,"SLIT2","FKTN","GABBR1","SH2D2A","SNHG8","GPR68","PRR5","DGKA"
"577","PTK2B","SRPX","LRCH4","RPS20","HIST2H2AC","CNN3","CD82","RAB8B","GOLGA8B","C19ORF38","CAPN2","HDAC1","HIST1H2AM","HADH","NDC80","COTL1","ANXA5","METTL1","DNM2","ZC3H12C","CSRP1","C17ORF99","FBRSL1","COX6C","RANGAP1","CNTNAP3B","PRDX1","SSBP2",NA,"C1RL","RPLP0","IL13RA2","MAN1A1","LOXL2",NA,"TMEM158","PXN","LINC00426","GABBR1","GPSM3","MTF1","RPLP0","HLA-A"
"578","ADAMTS2","BEX4","RPS27","SLC2A1","TK1","LINC00426","IL3RA","ACSL1","MYZAP","MYO1G","HES2","CPA3","ALCAM","LDHA","TAF13","FAM25G","FAM105A","MFSD7","SGK223","ACP1","PDZRN3","MPO","FZD7","LY6E","PLIN3","AJUBA","GRAMD3","IGF2BP3",NA,"DOCK4","TM6SF1","MMP11","TIFA","SKAP2",NA,"SPTAN1","CD226","GNLY","HIST1H2AJ","AES","MYC","B3GAT1","LGALS9"
"579","CTNNA1","DSTN","CD96","ITGAM","ARHGEF12","THNSL2","HIST1H2BC","SEPW1","COL5A1","SETD1B","RHOBTB3","FBXO8","F2RL1","RAB31","HINT1","WNT7A","FAM195A","GBP1","TLCD2","ECH1","CERS4","ARL6IP6","LIPG","SNORA66","AKR1A1","HLA-B","PDIA4","LRCH4",NA,"ANXA1","HIC1","TIPARP","TXNIP","NFIB",NA,"BLID","ENO2","LRCH4","VIM","CAPG","ACSS2","JSRP1","SGK1"
"580","FBXW5","TMSB4X","GRAP","ITGB1","LDHB","C19ORF24","NCAPG","SNX8","HLA-E","GGA2","CCNB1","RNF14","CTSF","DENND5A","LIMS1","MYO1C","SEPT9","SLC37A2","PRAM1","RSU1","MCTP1","MLLT11","ATP6V0E2","AKR1A1","BOD1","LY96","PTGER2","FAM177B",NA,"SIPA1","SEPT9","FRY","GRN","PLIN3",NA,"PLIN3","SLC7A6","NCK2","ZEB2","DDIT3","AXIN2","RCAN3","NEDD4L"
"581","HLA-DPB1","P4HB","ZBTB20","TREML2","NRP1","SKA3","NSA2","FNBP1","GOLGA8A","EPAS1","RPLP0","CPEB4","MEIS3","PUS3","LDOC1","AHCY","C9ORF89","SNORA71B","SLC47A1","SSR1","SORD","SOD2","CKS2","CCDC109B","TMEM106C","CDK1","ARHGEF6","RPL36A",NA,"CASS4","C12ORF57","ACO1","PPFIBP2","ADAMTS12",NA,"ID2","BTG1","C16ORF54","IL9R","FOXP1","PACSIN1","GOLGA8A","NUSAP1"
"582","ITGA6","TLN1","CAPN2","LRCH4","PAM","UBA7","LITAF","DYNC1I2","F2RL1","ADARB1","TFPI","NAPEPLD","DPP4","RPL10A","AK1","SHMT2","CORO1C","KCTD12","DENND4C","DNM1L","ARPC1B","UTY","MSLN","PMAIP1","CALCRL","STOM","MSTN","SNX30",NA,"RAB3D","C1ORF162","LITAF","ERBB2IP","CDK1",NA,"SNORD17","GNL3","KRT72","NR3C2","HCK","WDR86","HLA-E","HIST1H2AL"
"583","ACO1","FGF13","MYO1E","PTP4A3","GULP1","HAAO","TXNIP","S1PR1","ADAMTS6","PPDPF","NRCAM","NOP58","RHOG","SLC35B2","EFCAB7","CDA","FGD2","LYN","GLIPR1","HMGCR","FGFR1","CORO1C","ATP5D","SNX10","TRPV2","TBX3","FRY","TSTD1",NA,"ASF1B","CCDC88C","SLC6A9","GYPC","MRPL23",NA,"TSPAN3","IL11RA","RPLP0","RAC2","NSA2","DGKZ","SIDT1","HLA-E"
"584","MLXIPL","EPB41L3","RPS19","EHD3","MYH9","SLC2A5","IARS","PSAT1","NBPF14","GAS7","CD59","SNRPD2","TSPAN5","IL2RA","IDS","PPIA","VASP","NFKB2","SLC31A2","PSMA2","TPX2","RPS3A","CLU","BLVRA","CASP2","RAMP3","CKB","ABCG1",NA,"HLA-B","DOCK2","PTPN13","ABHD14A","LIFR",NA,"CAMK2D","BAG3","SCARNA9","JSRP1","ANXA6","FCGBP","BAIAP3","RPS12"
"585","NCKAP1","ZNF528","SPAG1","LFNG","PTPRE","MGAT4A","BMP2K","HIST2H2AA4","NID2","EVL","DVL1","WIPI1","MDK","MILR1","C10ORF10","IER2","FES","FAIM3","GPRIN3","RNF141","HR","CERKL","MRPL23","DENND5A","STOM","TPX2","COL16A1","MYO1G",NA,"HLA-C","HMGN3","SOD2","ACBD4","TXNIP",NA,"SYNC","GRAP","CBR3","IQGAP2","FAM107B","DOCK10","DLG5","TGFBR3"
"586","NCKAP1L","PIK3R2","CYFIP2","NDST1","SIRPA","RPS4X","ATP6V0A1","PKIB","SYNJ2","NUAK2","HIST1H2BG","SSB","NOTCH3","SLC38A5","SEMA6A","AQP3","PTGR1","GLIPR1","PECR","STK4","ITM2C","DHRS3","PLK1","MYADM","ACVR1B","ACTA2","PPP1R14A","PDE3B",NA,"MAP4K4","NME1-NME2","VCL","PIF1","CENPE",NA,"EIF1AY","RPL35A","IRS2","PLEC","JAK3","RPSA","GSTM2","PPA1"
"587","COMT","FAM46A","CKAP4","RPL36","PEA15","SPTAN1","HMMR","TFRC","CNN2","SNORD8","ITGB3","ANKRD12","MGLL","ASRGL1","SLC25A6","NPM1","TSPO","HLA-B","ARRB2","HDAC1","PDP1","FBXW9","HOXB2","PLSCR1","DHRS9","COMT","RPL10A","S1PR1",NA,"ZNF200","DENND3","CTNNA1","AKR1A1","CNRIP1",NA,"LAMA5","CRIP2","PPA1","MAP3K1","HMGN3","SERPINB6","KLF2","SLC12A6"
"588","FAT1","RARB","BACH2","IL9R","UGCG","ATP5G2","SPG20","CLEC4G","LONRF3","TP53I13","PDGFA","MRPL13","MPV17L2","ITGAL","MTCP1","AFAP1L2","HBEGF","NFKBIA","HIAT1","PLP2","FBXW5","APRT","FOXC1","RPL35","FAM178B","CD74","SULT1A1","APP",NA,"IRS2","RPL22","LIN28B","TXNDC15","CSPG4",NA,"F2RL1","RBM38","RLTPR","PLK3","LST1","OCIAD2","MYC","NLRC5"
"589","GAS1","TMSB10","KCNIP2","MTFP1","PCDHGC3","MTHFD2L","ASPH","TAP1","MALAT1","PLXNC1","PRKCH","SLC16A1","HIST1H3F","C20ORF96","PLAGL1","CYGB","HLA-B","PECAM1","HSPH1","SPC25","COMT","TMEM9","ADAMTS7","APEX1","JOSD2","DOCK4","ASPH","RPS17",NA,"CD300LF","PRKACB","PHGDH","PRDX2","DPYD",NA,"MFAP5","RPS13","RNU12","BTLA","ITM2C","RPS4X","RPL35","FOXO1"
"590","ANK2","SORCS2","TNFSF9","ELL3","NLGN1","ZNF680","BZRAP1","MCL1","CCND2","HVCN1","BNIP3","H1F0","BDKRB2","MYO1F","NUDT1","EIF3CL","MARCH1","PTPMT1","ANKRD13B","BCAP29","HIST1H4C","RPL10A","ALCAM","ARL5B","CLIC4","HIST1H2BH","CCDC141","CD96",NA,"MIDN","CD72","HIST1H2BB","GSDMB","SEPP1",NA,"PTPRN","CHML","CCDC109B","CALHM2","GPR160","APBB1","FAM101B","CHN1"
"591","FAM114A1","TXNIP","HIST1H2BM","EPS8L2","SYNJ2","ATP5G1","MPST","SKIL","GBP2","GIPR","HIST1H4E","HDC","SNORD17","CFP","RCSD1","PEBP1","MERTK","CTNNA1","HSD17B14","LIPA","TSPO","FCGRT","MMP11","CTNNA1","CORO1C","HSP90AB1","PLXND1","CRY1",NA,"VMP1","CPD","FAM213A","OGFR","EDA2R",NA,"SGIP1","RPL22","RPL26","FAAH2","RPSA","ATP2B4","ATP2B4","GNA15"
"592","RPL13","GALNT6","RPL36","SLC15A2","HERC4","C10ORF54","SELPLG","TAGLN2","JAM3","MAP4K5","FERMT2","NDUFA9","CCNB1","RNMTL1","TRIAP1","PTGS1","MGST3","DOCK4","ABHD12","UBE2V2","CAV1","ZBTB17","HIST2H2AA4","CCDC69","FLT3","PPA1","TMED3","PARP8",NA,"CXCL16","HDAC9","LTBR","REPIN1","FAM46A",NA,"GLIPR1","RPS8","ZBTB38","HLA-E","PLAUR","METTL7A","CERS4","GRPEL2"
"593","TSC22D3","HSPB8","AHR","SLC43A2","LXN","SLC26A6","PLAGL1","KLF5","LRP5","S100A11","MRPL23","TPGS2","EXT1","SPRY1","FAM3C","TFAP2A","NHP2L1","MYEOV","HLA-F","AKR1B1","RNF213","CLK1","KIF12","CHN2","LCP2","TAGLN","PTGFRN","VAV2",NA,"SAMSN1","HIST1H2BL","TBC1D2","S100A11","NTN4",NA,"MARCH3","FAM159A","CR1","FERMT3","RPL37A","VIM","RPS4X","CERK"
"594","CTSB","SH3RF2","AKT3","BCL2","SNED1","FARSB","RPL4","MDH1","DDR2","HIST2H2AA4","TK1","ABCC5","HIST1H1D","SUPT3H","GBP5","ACTN4","PTGFRN","SUCNR1","VEGFB","ENO2","AHRR","KCNN4","SNORD17","NEDD9","NR4A1","FAM64A","PSAT1","DNMBP",NA,"UBE2D1","HIST1H3H","PPFIBP1","TYK2","TPBG",NA,"LDHB","LSR","RPS21","S100A11","RPL4","CCDC64","SLC2A8","CRIP2"
"595","EPB41","S100A11","PCBD1","FAM65A","DSE","RCSD1","SPTBN1","IGF2R","NUSAP1","SNX20","UPK1B","CLCN4","MICAL2","CCDC28B","PPIL1","ATP5J2","CD37","EPB41L1","CR1","IARS","ANXA5","TWISTNB","TCF3","RNF166","STARD3","HOXB8","TSPO","HLA-E",NA,"AGAP2","CLSTN3","RPL36A-HNRNPH2","PRDX1","FAM198B",NA,"NR2F1","CEP95","VAMP8","CCR8","MXD1","PLXND1","NR2C1","FRMD4B"
"596","SNX10","TSPAN5","HIST1H3J","RPS29","STAT4","LMNB1","TMEM14C","TIAM2","SLC6A8","ITM2C","EREG","LACTB2","STAMBPL1","FOSB","RNF125","CD59","ERO1L","FMNL1","ADAMTS15","FAM107B","RPLP0","FAM3A","LOX","HLA-B","KDM5D","PSMB9","SMARCD3","LDHB",NA,"PTK2B","FOSB","CD9","PLA2G4B","LMNB1",NA,"SLC39A14","RPS21","PLCL2","SATB1","IGF1R","SH3D19","FAM102A","PAG1"
"597","FABP5","COTL1","MAST4","HSPA1A","TRANK1","RNF130","CPT1A","SCIMP","MDFI","LRP10","PRDX2","PTPRC","TUSC3","RPL21","TOP2A","HIST1H2AG","FN1","PLXNB2","HSPA1A","SVIP","PBK","VIM","RPLP0","KLF2","MCM7","TSPO","GDF6","PIM2",NA,"HRH2","GPR65","FZD2","RPS4X","RPLP0",NA,"SYNJ2","HNRNPU-AS1","RPL13","HLA-A","NME1-NME2","DSEL","FCGR2C","CDC25B"
"598","RAB20","FKBP14","POF1B","ZNF677","DHRS3","SGOL2","SLC38A6","FMNL3","PGAP1","HLA-B","GPRC5A","SRP14","MRPL23","RPL29","ZNF880","MZT2A","SCARNA6","LILRA2","SCARNA22","ACAD8","SREBF1","LY6E","KCNG1","SNORA79","MYC","MCM2","LDHB","IL13RA1",NA,"ZEB2","IRF1","LINC00472","TMEM39A","STEAP3",NA,"FZD2","SUCLG2","RBMS1","PHLDA1","RAB32","PRDX2","CEBPD","LSR"
"599","ACP5","RASL11A","RBM38","HIST3H2A","FGD4","C14ORF1","DGKG","H6PD","ANKRD36","RAB3D","PLXND1","TCEAL8","TMSB10","SH3BP5","UBA7","AKR1C1","TLR5","CD44","IARS","ICAM4","ITGA4","TSPAN3","TNFSF9","DPP7","PSMB9","SPTAN1","HN1","ARAP2",NA,"CYFIP2","RPL23A","TSPAN13","GSTP1","ZCCHC24",NA,"GALNT6","SIRPG","FUT7","AHR","FBL","RASSF5","AHSA2","LUZP6"
"600","IFITM3","RHOBTB3","CALHM2","HSP90AB1","KIAA0101","NUSAP1","PLEKHG3","COX6C","NOTCH1","DDX11","RHBDF2","TMEM98","CHRAC1","TCTN2","CCL28","ITGB1","CSF1","HLA-DPA1","KIAA1598","NEK2","TPCN2","PYCARD","NR2F2","EXT1","TAGLN2","DLGAP5","BICC1","SETBP1",NA,"NOTCH2","KIR3DX1","ALDH3B1","RHBDD3","SNHG4",NA,"TFRC","ECHDC2","ASB13","ARHGEF11","HIST2H2AB","MIAT","CXCR3","RNF166"
"601","PHLDA3","LCTL","ERBB2IP","LUZP6","PTGFRN","GADD45B","MSMO1","PRKCDBP","MOV10L1","DUSP1","TSPAN15","CD68","COTL1","ELL","PLP2","TK1","DPP7","IL32","LONRF3","ANKRD12","C19ORF12","ZNF433","VAMP5","FNDC3B","CPPED1","ANXA6","CKM","HOPX",NA,"TUBA4A","RPSA","GALNT6","RPS16","TSPAN5",NA,"EXOC6","RAPGEF6","TUSC3","CXCR6","CLEC5A","C1ORF162","RPSA","SNORA71B"
"602","EGFL7","OSTC","MSC","CD80","TMEM98","RPL14","RPL26","SOAT1","SRC","MIR505","GLIPR2","HMGCS1","FADS1","RDH5","SYNGR2","CARHSP1","FGL2","SLC11A2","CD99","HIST1H2AC","HPS4","ATP6V0A1","LDHB","PRNP","TRPS1","AOX1","DPYD","MTMR10",NA,"MPEG1","CALHM2","CCDC80","TYMP","CDCA3",NA,"HIST4H4","SNX9","HLA-E","FAM13A","COX6C","HVCN1","NKTR","UCK2"
"603","PDCD4","PTPRU","PPA1","SPTBN1","CDH13","RPL29","SUMF2","RUFY4","THSD7A","KCNE1","RPL10A","DDX39A","LAMA5","ITPRIPL1","TTC38","EXT1","SMOX","ACOT7","TSPO","CETN3","RPL13AP5","RAMP1","MAP2","LGALS9","FAM174A","PPM1F","KDM5D","TMEM154",NA,"PRDM5","GNPTAB","DHRS3","VAMP8","F3",NA,"PIEZO1","RPS29","KCTD15","HIST1H2AG","RPL12","NME2","RPL22","IRF5"
"604","PPL","TRIM22","MAP4K3","RPS27","SLC7A2","TCEAL8","CLIC1","CST7","RAB3B","AES","SERINC2","FTH1","CDH13","MTHFD1","C2ORF76","TMEM154","COMT","TMEM176A","SCARNA15","MKI67","SAT1","FCGR2A","MYH9","RPL23A","SFXN1","RPL10A","PGF","FAM134B",NA,"IFI16","IPCEF1","CST1","CDRT4","LIMA1",NA,"PKN1","SGK494","PLCL1","ADTRP","ARHGAP30","RPL22","CD82","NCK2"
"605","TNIP1","SSBP4","GGA2","TNFRSF1B","TRAM1","SUPT3H","FBL","RNF213","DSP","SIN3B","ZNF702P","HIST1H2AH","PARVA","NDUFS4","KDM6A","TWIST2","CALU","TMSB4X","UPP1","RAB30","POLR3G","NAT6","CDT1","S100P","ATP6V0A1","SLCO2A1","PDGFA","STEAP1B",NA,"PLIN4","KLF2","PDLIM1","PIK3CG","MIRLET7BHG",NA,"AKR1C3","SUSD4","SPATA13","TMEM14C","ARHGEF7","S100A10","LUC7L3","FAM101B"
"606","GBP2","PDPN","IL2RA","COTL1","SAMD11","DCP1A","ACCS","CCDC6","CDC20","SFMBT2","GSTP1","MEF2C","MRPL12","SPECC1L","SLC37A3","AES","HEXB","SLC27A3","AES","RACGAP1","AP1S2","APOBEC3B","CREB3L1","IFITM1","CNN2","TCF19","IFI30","PNPLA7",NA,"SRXN1","PLCXD2","TIMP2","SPINK2","G6PD",NA,"CNIH3","CD44","HYI","DGKA","HLA-E","RGS10","ABCD2","HIST1H2AH"
"607","GNG12","S100A13","SULT1A4","FCGR2A","SLC7A11","TUBA1A","ACSL1","HMSD","HSP90AB1","ENGASE","GNB2","PDLIM1","CDKN1C","TNFSF13","ZNF268","AMOTL1","RPS4Y1","DEXI","DMXL2","SLC25A20","GSTM3","CDK20","SPON2","RPL36A","DOCK10","C10ORF10","TCEAL7","SNX25",NA,"ZBP1","APOL1","WISP1","CDKN1B","RGL1",NA,"ERAP2","RPLP0","TNFAIP8","FAM134B","HIST2H3C","SIPA1","LSR","MYC"
"608","LITAF","TNFRSF21","RBM47","PRICKLE1","ASPM","LCK","EEF1B2","CDK6","LINC00472","BIN2","PKN1","TMEM14A","MYADM","ATP5G1","ELAC1","COMT","ASNS","NFKBIZ","HLA-E","METTL4","DOCK10","MTHFS","NTN4","RPS8","HEMGN","CASP10","TMSB4X","PARVG",NA,"LYST","NOTCH1","LDHB","IDH2","RPL10A",NA,"FEZ1","TNFRSF10B","MYEOV2","CDC14A","RPS29","TNFRSF1A","PLEKHF1","GPA33"
"609","SDPR","C17ORF49","SHISA8","SOX5","GBP2","NIPSNAP3A","USF2","GBP2","PPA1","IGF1R","FOS","EIF4EBP1","THSD4","PIM2","XIST","EPHB4","GPC4","SLC29A3","PLCXD1","RABL3","HIST1H1E","HIST1H1E","ITGA11","SELPLG","RAB33A","ABCG1","TRAM2","RAPGEF1",NA,"AVIL","PAFAH2","TUBA1A","PDIA3","SLIT2",NA,"NFIX","FAM13A-AS1","RPL22","FKBP11","ZFY","RASGEF1A","TNIP3","SLA2"
"610","CYBB","SLC9A7","LFNG","CSNK1G2","HES1","TFEC","CDKN3","HLA-DRB5","NXN","HIST1H4J","CTNND1","KIAA1524","KAZALD1","RPS14","ENO3","MAL2","IFI6","COL22A1","STAG3","ACCS","BIRC5","MORC2-AS1","PIM1","PRDX1","BTBD1","GYPC","ANTXR2","RIMKLB",NA,"HIST2H2AC","RPL13","EFEMP1","MDFIC","WDR54",NA,"ATOH8","TSPAN18","TGFBR3","HIST1H3J","SUSD4","RHBDF2","TSPAN15","COTL1"
"611","FKBP8","HNMT","RPL41","DPYD","MAN1C1","WDR3","PLXND1","PARP12","ARVCF","NBPF14","DUSP23","MKKS","GSN","AFF3","HSBP1","SPINK6","TMEM37","HIST1H2BB","GLUL","RCHY1","SLC16A4","PTRH1","PKN1","TSPO","RPSA","PHLDB2","PYGL","FAM3C",NA,"KBTBD7","ABLIM1","CHRAC1","GRK6","LRP8",NA,"GCNT1","NMT2","CCDC141","RPS29","HIST2H3A","TIAM1","ANXA5","ELK3"
