"","Astrocytes","B_cells","BM","BM_._Prog.","Chondrocytes","CMP","DC","Embryonic_stem_cells","Endothelial_cells","Epithelial_cells","Erythroblasts","Fibroblasts","Gametocytes","GMP","Hepatocytes","HSC","iPS_cells","Keratinocytes","Macrophages","MEP","Monocytes","MSC","Myelocytes","Neuroepithelial_cells","Neurons","Neutrophils","NK_cells","Osteoblasts","Platelets","Smooth_muscle_cells","T_cells","Tissue_stem_cells"
"1047",NA,"PARP2","POP5","SLC1A5","PEA15","EZH2","FAR1","DHX15","RAB32",NA,"BLOC1S6","DUSP1",NA,"GPM6B",NA,"KLF3","NSMCE1",NA,"SLTM","SEMA4D","PDP1","THAP9-AS1","VILL","ABCA1","UQCRQ","FGD3","NSUN6","BTAF1",NA,"NDUFA13","ASUN","YWHAE"
"1048",NA,"ACTL6A","SLAMF6","SUMF2","PEX6","NONAME331","GLIS2","FGFR1","RAMP2",NA,"CCAR2","FAR1",NA,"LINC01003",NA,"PIK3R5","SRSF2",NA,"SPINT2","SNORA64","XRN2","GLS","MKI67","CRIP2","ZNF185","PLEKHA2","SACS","FBLN7",NA,"PTER","ATG9B","AVPI1"
"1049",NA,"QRSL1","MIS18A","TBC1D10B","PLPP7","RPL3","SLC11A2","HK2","TSPAN15",NA,"MDM4","NDUFS5",NA,"PSENEN",NA,"ADD3","TIMP4",NA,"TMEM163","FRAT2","DUSP3","HS3ST3A1","LRRC4","GAS2L3","CDK5","THRAP3","SWAP70","TRIM47",NA,"SH3RF1","ECHDC2","IGF2-AS"
"1050",NA,"SMARCB1","MORC3","XRCC5","HACD1","SF3B5","DSC2","PROCR","ITGB5",NA,"MPHOSPH9","GPR176",NA,"TMCO6",NA,"C1QBP","COBL",NA,"ABCG2","MED24","IRF5","DHRS7","WDR12","PRMT3","FAM155A","TRIM38","CNNM3","DHRS7",NA,"FST","PLA2G16","ITPRIP"
"1051",NA,"NDUFA11","PTPRK","COX6B2","IRS1","TMEM35B","EPSTI1","KPNA2","PNMA1",NA,"NME1","ARMCX3",NA,"WEE1",NA,"LXN","SNAPC2",NA,"HLA-A","PPIH","NEDD9","EXOSC2","ZFAND2A","SH3GL3","MTHFD1","ZSWIM6","NDUFV1","FLRT3",NA,"MCFD2","CMTM3","OXCT1"
"1052",NA,"SLC16A6","RAB8B","DCAF6","PET100","HOXB6","CHCHD10","LDLRAD3","ZDHHC2",NA,"PRRT1","FAM171A1",NA,"BCKDHA",NA,"NOTCH2","TNS3",NA,"HLA-DRB6","PRKCSH","OSTC","IRS1","APITD1","THBS1","TRIM28","SBF2","PIGP","LRRC6",NA,"DGUOK","EIF2D","IL11RA"
"1053",NA,"TST","RPS21","EEF1E1","RASL11B","WEE1","MB21D1","LINC00261","CKS2",NA,"RBL2","MSMO1",NA,"CYGB",NA,"RNF144A","YBX3",NA,"PSMB3","SAMM50","SCAND1","PFDN5","IFI44","WDR54","USP3","PFKFB4","B3GAT1","SLC38A6",NA,"MFSD1","GPR174","P4HA1"
"1054",NA,"ZNF581","SIGLEC5","MIPEP","CD248","HOXA6","CD63","PTPN12","CRYL1",NA,"NOC3L","FAM21C",NA,"SF3B5",NA,"LINC00324","ETS2",NA,"TCERG1","PBDC1","ZFP36L1","PHLDB2","SLC38A1","APPL2","CAPN2","TOM1","WBP11","AK5",NA,"NBEA","NDUFA11","SEPN1"
"1055",NA,"ANKRD10","APP","TMC6","LBH","NCAPD2","COPRS","RPARP-AS1","SENCR",NA,"PIEZO1","MID1",NA,"BCL2A1",NA,"MAP3K4","LYSMD2",NA,"GGH","SMIM3","CBFA2T3","ANXA3","ATP2A3","IGF1R","ZNF559","CDC42SE1","INPP4A","ALDH2",NA,"P4HA1","PAM","BDNF"
"1056",NA,"DNAJB2","CCPG1","C9ORF64","PSD3","BORCS7","PLA2G16","TXN","EXTL2",NA,"PSCA","PTPRG",NA,"GMNN",NA,"PSMB3","PPP1R3B",NA,"MALAT1","DPY19L3","IBTK","ILF2","BST2","PBDC1","COMT","ITGB2-AS1","MAF","IQGAP1",NA,"CENPW","RUVBL1","FNDC3B"
"1057",NA,"EFCAB7","MYO1F","KYNU","KDSR","LINC00339","TMEM14C","CLDN4","GNA11",NA,"VPS25","SLC12A2",NA,"HERPUD1",NA,"TNFSF4","CTNNA1",NA,"PPA2","MTA1","MAN2B2","ZNF711","ZDHHC2","FUS","SPON2","LATS2","TUBE1","PALM",NA,"HOXB7","ACAP1","KCNH3"
"1058",NA,"TAF12","PVRIG","MTERF3","NKX3-2","EPM2AIP1","CCDC92","GPR143","SP100",NA,"B2M","TMTC1",NA,"LRPPRC",NA,"C9ORF72","FKBP3",NA,"STAT6","PQLC3","PLIN2","CDK2AP1","NONAME671","CTXN1","FAM167A","ZCCHC6","PLP2","PTPN3",NA,"SMURF2","COX5B","PTRHD1"
"1059",NA,"ZC3H4","RPS17","NUP62","STXBP1","UBA1","PPIB","PHLDA1","B2M",NA,"LRPPRC","MRPS28",NA,"LRRC8C",NA,"DNAJC3","MLKL",NA,"CBLB","TAGAP","SLC25A37","FLRT3","PFKFB3","JAKMIP2","PPP1CA","GUK1","PNMA1","RHOC",NA,"LGR4","KCTD12","TOMM7"
"1060",NA,"CCT3","SPA17","ANXA11","DEPDC7","XBP1","RALGAPA1","PTER","NEDD4",NA,"MRPS36","C9ORF16",NA,"SH2B3",NA,"ROMO1","MRPL13",NA,"DCTD","UGCG","TCEAL4","FNBP1L","RGL2","SRSF3","TTC3","TRIM39","AKAP13","SLC1A4",NA,"NID1","NONAME187","UBE2E2"
"1061",NA,"THOC6","ATM","APOL3","SEPN1","LINC00116","TMEM35B","UGP2","NR2F1",NA,"PICALM","MPDU1",NA,"ST14",NA,"SEMA4A","ARRDC3",NA,"REL","GYPA","NINJ2","KHDRBS3","TRAF3IP3","FAM84B","PRDX4","CYFIP2","PJA1","CARD16",NA,"PSMB3","ADCY7","C10ORF11"
"1062",NA,"WHAMM","ITLN1","PHACTR4","MANSC1","OSTF1","HSPA6","KRTCAP3","PSIP1",NA,"APEX2","TRIM6",NA,"H2AFZ",NA,"TRIM44","CRYZ",NA,"ZBTB8A","SAMD9","FRMD4B","SLC4A4","PDIA5","FOXM1","RNFT2","PRB1","TMIGD2","CTH",NA,"TSPAN4","CPNE3","CCL21"
"1063",NA,"APOC1P1","RASSF5","YBX3","NONAME681","PPM1H","TMED7","MRPL15","BNIP3",NA,"FAM182B","DFNB59",NA,"HPDL",NA,"CPEB4","EEF1D",NA,"AHRR","MPC2","STK19","TCEAL4","ZNF692","FSCN1","TBX2-AS1","DEFA4","EML4","LRP12",NA,"VWA5A","P4HB","TSHZ1"
"1064",NA,"BTLA","SLC25A21","ODC1","SEMA3B","PXDN","ADO","PLCL2","GRAMD1C",NA,"JADE1","AJUBA",NA,"S100P",NA,"DIMT1","ZNF22",NA,"GIMAP6","PCTP","TRIAP1","DHX9","SUCLA2","TXNIP","STAG3","CYP27A1","NIT2","LRRC32",NA,"OSBPL3","CFP","YBX3"
"1065",NA,"GORAB","ZDHHC2","SMARCD2","SLC25A24","SNHG8","HOMER1","FOXQ1","HJURP",NA,"NUP35","FAM26E",NA,"NFKBIZ",NA,"EIF2D","CALCB",NA,"RNPEP","RNF135","C21ORF91","DTX3L","TAF12","CDCA7L","CDC45","PARP12","TFDP2","MIF-AS1",NA,"PTPN13","CMSS1","YPEL2"
"1066",NA,"GRB2","FAM213A","TCEAL8","TCF7L2","ACADM","NCCRP1","GUCA1A","LTBP1",NA,"METTL17","NUF2",NA,"XBP1",NA,"MPP1","ID2",NA,"BID","ALAS2","GNB2","MSMO1","VAMP2","KYAT3","CREG1","PPP1R18","IKZF1","DTX3L",NA,"RPS20","DIS3L","HIST1H1C"
"1067",NA,"LRP10","SCPEP1","UBAP2L","KRT17","GADD45GIP1","PGD","SLC38A2","ARRB1",NA,"SRCIN1","PARM1",NA,"ACYP2",NA,"RALGAPA1","PLEKHG4",NA,"EOGT","CEP57L1","RHOC","TOM1L1","ALAS1","EEF1A1","ARC","RGS19","LSM2","ABCC1",NA,"ZNF667-AS1","C12ORF65","KLHL5"
"1068",NA,"RAD51AP1","THEMIS2","CRY1","NYNRIN","KANSL1-AS1","ARL6IP5","EFNA5","CD99P1",NA,"YBX3","RAB5C",NA,"GYG1",NA,"CMIP","PNRC1",NA,"LACTB2","DCAF15","EIF3M","KPNA4","C12ORF57","EPHX2","SH3BGRL2","CPEB2","TCEAL1","HSPB8",NA,"DDX55","CALHM2","METTL26"
"1069",NA,"WDR54","DYRK2","ESCO2","PTPDC1","NEAT1","MICAL1","SYNE4","NDRG1",NA,"ALDH6A1","HEBP2",NA,"MS4A1",NA,"PTX3","COL18A1",NA,"RAB8B","MSL2","FUCA2","VEGFA","NONAME894","GNAI1","CTSF","SUDS3","CTBP1","RAC2",NA,"RASSF3","CCDC91","SLC26A6"
"1070",NA,"RBMXL1","KCNE3","GAB1","TMEM243","PTOV1","SLC26A6","TRIP6","MAPK12",NA,"GDPD5","SPHK1",NA,"CD14",NA,"MX1","F2R",NA,"DOCK11","SKA1","STRN4","MT1X","CAMTA2","FRMD6","PBDC1","CFAP58","LYSMD3","RIMS3",NA,"RSPO3","MALT1","CNTROB"
"1071",NA,"TAF6","MARCKS","PARP2","TNFRSF12A","TMEM147","CCND2","UCP2","EHD2",NA,"RBBP8","NDUFS8",NA,"FRMD4B",NA,"TYMP","RABGAP1L",NA,"FAM78A","TTLL12","PMAIP1","RBP1","DZIP1L","GMNN","CDC37","EXOC8","POP5","SLC12A2",NA,"CLIC3","ABCA5","F8"
"1072",NA,"EZR","BIRC5","RRM1","DBN1","WDR5B","HYOU1","C9ORF64","SLC12A2",NA,"TUBGCP4","PHGDH",NA,"ARPC1B",NA,"CIB1","YOD1",NA,"KPNA2","MRPL1","LINC00324","TMEM167B","MPP1","IREB2","GPD1L","GPR183","MRPS9","SLC1A5",NA,"KITLG","BUD31","YPEL3"
"1073",NA,"MAP3K1","PRDX4","ENG","MBNL1","GEMIN4","SLC43A2","PTPRF","ACTL6A",NA,"MRPS10","ZNF593",NA,"LINC00339",NA,"ITGB3BP","APOBEC3G",NA,"MCRIP2","MYO16","MT2A","ALDH1L2","POLE3","MSX1","HPRT1","PPP4R1","FHOD1","ENC1",NA,"MYL6B","GADD45B","KCNF1"
"1074",NA,"MCM2","RPIA","FAIM","PSRC1","PA2G4","ABCC3","VMP1","CHAC2",NA,"XRCC5","HS3ST3A1",NA,"MGST2",NA,"MORC3","CLIP2",NA,"PPIB","RILPL2","NONAME813","CLEC11A","DRAM1","VEZF1","QDPR","RALGDS","KMT2E","MIR210HG",NA,"STAT5A","NPIPB15","MX2"
"1075",NA,"NT5DC2","CKAP5","HSPA9","BACE2","SERPINI1","ADAM12","ATP5G2","CSRP2",NA,"DCAF16","HSD17B6",NA,"MIF4GD",NA,"VPREB3","ELOVL7",NA,"APOBEC3G","RPS6KA1","S1PR3","ITGA6","OSTC","IFT80","MLF1","BACH1","USP28","ENDOD1",NA,"C5ORF30","ZC3HAV1","SLAMF6"
"1076",NA,"FAM98A","THEMIS","URB2","PIEZO1","GAB3","LINC01094","IGF2R","RNF135",NA,"POLR3K","YPEL3",NA,"OCIAD2",NA,"DTX3L","CPNE1",NA,"MYOZ1","UBR3","GABBR1","RHOJ","WDR34","SERPINE1","NRBP2","DGAT1","HLA-DMA","CARD10",NA,"NONAME593","ZNF559","ELK3"
"1077",NA,"LGMN","CACNA2D3","GBF1","PLBD1","YAE1D1","STX11","MICU3","CHD7",NA,"C7ORF73","FUT8",NA,"SLC30A1",NA,"VCPKMT","KPNA2",NA,"CMTM6","PSMD14","ABCC3","SF3B6","AGPS","UGT8","CDC42SE1","EIF5A","KPNA2","KDSR",NA,"RRM2B","ZNF600","TOP1"
"1078",NA,"OTUD1","NDUFS3","MRPS35","TCEAL1","BACE2","SH3BP4","CBR1","GCH1",NA,"ITGB3BP","FZD4",NA,"CORO1C",NA,"ARV1","SRSF3",NA,"RPL8","SLC4A1AP","FAM46A","GYPC","CALM1","TCERG1","KYAT3",NA,"TLE1","WIPF1",NA,"ETHE1","C10ORF54","ECE1"
"1079",NA,"PRDX5","STAM","AK4","TOM1L1","BLMH","TMED2","HEBP1","PLAUR",NA,"ZNF266","CAP2",NA,"CRY1",NA,"BTAF1","CCND2",NA,"SLC23A2","POP5","MTO1","PAM","TRIQK","ANKHD1","RAI2",NA,"FAIM","ALDH1L2",NA,"GTF2I","GALNT12","TMEM167B"
"1080",NA,"SSBP2","VPS45","C2ORF82","ABCC3","GSTO1","UNC13B","CAMSAP2","SNX9",NA,"KLHDC8B","IRS2",NA,"DUSP14",NA,"NAAA","MMADHC",NA,"SUSD6","CCNB1IP1","PRKAR2B","TBC1D8B","VPS25","MSH6","SLC7A5",NA,"MAN2B2","CD109",NA,"SVIP","GRAMD3","NACA"
"1081",NA,"TBC1D22A","DOCK10","CTBP2","RPL8","PGM1","COX5B","LPAR6","STAT5A",NA,"NDUFA5","RNF135",NA,"MAGEH1",NA,"RFWD2","PGM1",NA,"CD276","ELOVL7","PTPRJ","FSD1","ASNS","NONAME155","RAPH1",NA,"RSAD2","ZNF175",NA,"C14ORF132","NUP35","NDUFA13"
"1082",NA,"ANKHD1","DTX3L","NPM1","RPS21","ALDH2","DOCK3","PCAT7","WSB2",NA,"OSBP2","ROR1",NA,"PLAUR",NA,"SETD1B","SH3BGRL",NA,"KPNA4","HNRNPLL","FASTKD1","HEPH","CIB1","SBK1","RIMS2",NA,"SMC3","ALDH18A1",NA,"KAT6B","SCAND1","SMPDL3A"
"1083",NA,"LGALS1","FAM98B","RPL39L","CYP27A1","HBM","IL27RA","ARRDC3","CCNE2",NA,"PLBD2","UBTD2",NA,"RNF135",NA,"TPX2","ZNF195",NA,"PRKCB","ORC4","HIST1H2BK","SMPD1","MAP3K11","APLP1","EPHX2",NA,"ZC3H12A","CD59",NA,"MBNL2","SDHD","TG"
"1084",NA,"MRPS9","LRR1","SSBP3","EMP2","MORN2","TNFRSF4","CA11","HLA-B",NA,"HIST1H4F","ZBTB41",NA,"STAG2",NA,"CCNG1","CHAC1",NA,"C11ORF54","TRIM24","SEPT10","CYB5R2","TMEM223","MPDZ","LRPPRC",NA,"FCGR3B","LINC00565",NA,"PODN","TADA2B","CAPZA2"
"1085",NA,"RAP2A","ZNF780A","PIK3AP1","FBLN1","PIK3AP1","YARS2","SCG2","PGM2L1",NA,"KPNA4","ERAL1",NA,"UCK2",NA,"CCPG1","EEF1A1",NA,"ENO2","IRAK1BP1","ATXN1","MCM7","CD63","NOVA1","MTA2",NA,"LGALS3","NOV",NA,"C10ORF54","ANKHD1","HOXC4"
"1086",NA,"AACS","ADGRE1","NEAT1","RTKN","RPL23","AAED1","MCCC2","RNASE4",NA,"TBC1D10B","GFRA1",NA,"CPNE3",NA,"SMIM3","RASL11B",NA,"MFSD7","SNRPF","PARP12","CTSK","NCAPH","SRSF2","PRTG",NA,"MLKL","PPP1R26",NA,"CLIP2","EIF3E","MFAP4"
"1087",NA,"INTS6L","BORA","RPL11","TGFB1","TES","HRH1","NET1","CTSA",NA,"YWHAE","MBOAT2",NA,"DTX3L",NA,"TMCO6","BOD1",NA,"FASTKD1","STK26","SUCLA2","GFRA1","NCOA6","ZNF22","PGM1",NA,"NUP88","SERP2",NA,"FAM98A","LSM2","NRIP1"
"1088",NA,"PTAFR","CRNDE","SCO2","ACSL1","TMCO6","ISYNA1","PSMG1","DBF4",NA,"NUP205","PLIN2",NA,"NOP16",NA,"HLA-DQA1","C6ORF132",NA,"UBXN11","UBA1","NEAT1","PSMD14","C10ORF128","ACTA1","TMBIM1",NA,"PBDC1","GLB1L2",NA,"NR2F1-AS1","RGS19","LYPD6B"
"1089",NA,"ANXA2","MRPL27","CYC1","FAM92A1","ZNF404","NUDCD2","SOX2-OT","L3HYPDH",NA,"TBC1D15","TRAF5",NA,"NUDT11",NA,"STK17A","MAP4K3",NA,"ZWINT","ANKRD28","PSMC3","SHROOM3","CTSC","CHEK1","PSMD14",NA,"ZNF805","SMIM14",NA,"SPATA20","SLC16A10","SERTAD4-AS1"
"1090",NA,"FIBP","PRDX1","FBXO7","NET1","ACACA","TMEM167B","SRSF3","PLAC8",NA,"STRN3","AGAP2-AS1",NA,"PPP5D1",NA,"MBOAT7","SLC25A13",NA,"FAM50A","GAS2L1","TLN1","TFRC","FZD6","EEF1D","COL16A1",NA,"DNAJC9","CRYZ",NA,"CREB3L2","CAPZA2","TCEAL1"
"1091",NA,"TNFSF10","FRAT2","NONAME906","C12ORF57","APOC1","APOBEC3A","ENPP5","DUSP23",NA,"RFXAP","LIMS2",NA,"PALD1",NA,"PSMG1","SLC38A2",NA,"NPC2","KEAP1","ALDH3B1","TMEM35A","PRDX4","ERC2","CCNG2",NA,"SPTY2D1","CERCAM",NA,"MSMO1","CAT","AFAP1"
"1092",NA,"GAK","FYB","MRPS26","P3H1","COX5A","CYP51A1","IDH1","GLIPR2",NA,"SAP130","SAT1",NA,"PPP1R18",NA,"DLEU1","FXYD6",NA,"SEPT11","ZNF135","COX5B","HYOU1","STAMBPL1","GDAP1","CTPS1",NA,"TGDS","HSBP1L1",NA,"PIGZ","FCGRT","COX6C"
"1093",NA,"NDUFS8","HSPA6","NONAME851","SNRPA","FBL","HACD4","MOB1B","HYI",NA,"FCGR3B","ACAT2",NA,"SNORA64",NA,"MDH1","SERTAD1",NA,"USP9Y","LINC00959","NDUFS5","PFAS","TMEM167B","NONAME69","NCK2",NA,"TOB2","APOC1P1",NA,"SNRPB","HYOU1","FAM109B"
"1094",NA,"RPL22L1","IMPA2","TRAP1","ICAM3","TNFAIP3","IFFO2","S100A6","LLPH",NA,"PMS1","MKNK2",NA,"FAIM",NA,"SCARNA17","KLHDC9",NA,"LAMP2","RAB34","CCL5","POP1","CAPZB","BAMBI","TADA1",NA,"LINC01003","ICAM2",NA,"COX6C","NDUFS5","MOK"
"1095",NA,"STAT6","CDCA2","GSTO1","TMEM35B","PON2","GOLM1","ARHGEF10","FAM174B",NA,"C6ORF89","TMEM14A",NA,"RBM47",NA,"BMX","NCOA2",NA,"RRAS","GSTO1","GADD45GIP1","EGF","TNFRSF1A","EIF1AX","HLTF",NA,"SIMC1","NID1",NA,"NONAME876","CKLF","IRS1"
"1096",NA,"ZNF430","CMTM7","IPO5","DLG5","CHMP2A","MAD1L1","PA2G4","GRAP",NA,"EEF1E1","DOCK11",NA,"ZNF185",NA,"FOLR3","TFAP2C",NA,"ZMIZ1","LCLAT1","SLTM","GPC6","TSPYL4","HTRA1","PLXDC2",NA,"ZNF571","DDHD2",NA,"STAT6","NUDT19","NONAME826"
"1097",NA,"HDHD2","ELL3","MYADM","GUK1","NT5M","MICALL1","KIF3A","CCDC86",NA,"NEMP1","ECI2",NA,"IRF1",NA,"ILF2","PMF1",NA,"CEBPD","LEPR","CAPNS1","MEIS1","CD300A","NEK2","RNASEH2A",NA,"ADGRG5","GLIS3",NA,"ABCA9","TRAV23DV6","TXN"
"1098",NA,"IMPDH1","LRRC40","RAVER1","TUBE1","UBE2J1","CEP68","KBTBD8","MYO5A",NA,"PDCD4","MAP3K8",NA,"NAGA",NA,"HIST1H2BK","TMEM251",NA,"MRPL40","PPIB","CMTM3","CDK6","HADH","PEA15","RSRP1",NA,"GNPNAT1","SFTA1P",NA,"CLIP3","TMEM55A","FANK1"
"1099",NA,"SNN","DNAJB14","CLIC1","ZNF883","CHST11","PBDC1","MPPED2","PLD3",NA,"RUVBL2","TSPAN4",NA,"ARMCX2",NA,"MRPS9","LSM14B",NA,"SAT1","KIAA0391","EEF1A1","FAM129A","LLPH","ITGB3BP","HOXB2",NA,"KDM2A","ITGA11",NA,"CTSH","MRPL54","PCK2"
"1100",NA,"TMEM251","EPB41","LYAR","CCDC18-AS1","TMIGD2","ARV1","SERPINI1","TMEM88",NA,"SLC25A15","CD99",NA,"MGLL",NA,"RAP1GAP2","PPIB",NA,"TMED2","PKIA","IRS2","MRPS28","PECR","TAF9B","NSUN5P1",NA,"NAA40","KLHL15",NA,"GAA","NUP205","PCYOX1"
"1101",NA,"BLOC1S6","FAM26F","SMG7","STAG2","ZNF137P","C1ORF122","TARS","NOC3L",NA,"HAGH","EVA1C",NA,"C19ORF48",NA,"CYTH4","SERPINF1",NA,"MICAL1","PPP1CA","TRIM4","PCYOX1","TBC1D13","DCLK1","PPIA",NA,"NDUFB10","STK26",NA,"HMGA1","TRAV30","NEAT1"
"1102",NA,"MRPL27","GADD45GIP1","CDKN2C","YPEL3","AGL","SOCS2","TCERG1","ORC6",NA,"HARS","IMP3",NA,"HLTF",NA,"DDX60","TNFRSF21",NA,"TMEM147","REPS2","RPN1","WSB2","EIF2AK4","MMP9","MYL12A",NA,"APOC1P1","MAFB",NA,"MED6","CCDC84","SMPD1"
"1103",NA,"MTO1","LYST","NEDD4","GALNT7","LINC01420","GAA","FOXA3","RALGAPA1",NA,"LRRCC1","CAPN2",NA,"SCCPDH",NA,"MGRN1","CLDN3",NA,"CALU","CD81","ARRB1","DICER1","ILF3","PUDP","PAM",NA,"GSE1","NONAME83",NA,"REEP5","IFNGR2","B2M"
"1104",NA,"NONAME155","MRPL54","PARP14","IRX5","PTPRE","HSD3B7","ILF3-AS1","TAGLN",NA,"CREBRF","CDK14",NA,"STX11",NA,"AGA","IRX1",NA,"CTSO","MRPL4","MBNL1","ETS2","RASGRP4","SOST","CDC25A",NA,"EIF4E3","PPL",NA,"SRGAP1","LRRC40","FAM213A"
"1105",NA,"ZEB1-AS1","PIP4K2A","ZNF155","MRPL21","YES1","RHOC","NBEA","BAZ1A",NA,"NEDD4L","HSPB2",NA,"ANP32E",NA,"CYB5R4","PHLPP1",NA,"PHLDA1","RP9","MRPS33","HOXC10","TSC22D3","CYP27C1","ESPL1",NA,"GCHFR","NONAME826",NA,"IPO5","TXLNA","LTBP4"
"1106",NA,"AES","RBBP8","ASCC2","PLXND1","C6ORF48","PAICS","ALDH1A3","C17ORF58",NA,"SMARCAD1","CDO1",NA,"ILF3",NA,"FGF13","LINC00664",NA,"PHYH","RPL39L","SP2","NOC3L","NHP2","FLNC","FYN",NA,"LPIN1","PNMA1",NA,"KLF10","ZFP36","NOXA1"
"1107",NA,"COX5B","CDC6","GAS2L1","RIPK3","LUM","RBPJ","APPL1","MRPL17",NA,"BMPR2","OSBPL8",NA,"LY9",NA,"IER3IP1","TXN",NA,"RYR1","SLC39A10","TTYH2","PKD2","TMEM141","TXNDC16","SLC19A2",NA,"NONAME850","SGK1",NA,"PPP5C","ZNF266","ANTXR1"
"1108",NA,"FAM167A","MTMR11","POLR1C","GNPNAT1","UBA7","RPLP2","BNIP3","MZT2A",NA,"PCBP1","REXO2",NA,"MTERF3",NA,"NONAME844","PPIL1",NA,"TMEM205","BCAT1","DPAGT1","POLR3K","CHD8","DHX15","PTPN6",NA,"PTPRJ","HSPA1B",NA,"SAMD9L","ABCB10","FAM117A"
"1109",NA,"HLA-A","REEP5","SNRPD1","NGEF","MELK","IMP3","PARP12","PTPN12",NA,"TAC4","RGS10",NA,"PARP8",NA,"P2RX5","TCP11L1",NA,"YARS2","DPYSL2","MAML2","SEC61A1","PTGER4","EBF1","YKT6",NA,"DENND1C","STYK1",NA,"UGCG","AHR","OMD"
"1110",NA,"ST14","TBCK","KCNIP2-AS1","SNHG18","PSMB3","SPRED1","CCNE2","TNFRSF12A",NA,"NONAME806","TMEM158",NA,"S100A6",NA,"PSENEN","PMS1",NA,"TFEB","PLA2G12A","SYTL1","SEMA5A","GORAB","GSTP1","FABP7",NA,"MYC","TRAF5",NA,"C6ORF120","ARPC1B","CTSH"
"1111",NA,"ANLN","UPP1","NQO2","TSHZ1","BTBD11","TCEAL1","EIF1AX","CTPS1",NA,"SLC22A1","EIF5A2",NA,"SERPINB8",NA,"DCTD","RALB",NA,"ACOT13","SMAGP","TREX1","F3","KLF10","STC2","PLA2G16",NA,"NEAT1","SLC25A43",NA,"PNMA2","NNT-AS1","CARD16"
"1112",NA,"C6ORF48","PRKACB","PPIB","HMGB2","JAM2","ANKRD33B","HPDL","LARP6",NA,"TMEM214","TRAPPC5",NA,"B4GAT1",NA,"ABHD3","CTSH",NA,"FH","TMEM117","GYG1","HNRNPH1","ANKS1A","TOMM5","RAP1GDS1",NA,"UTP6","CASP4",NA,"CACHD1","NONAME397","FYN"
"1113",NA,"DCLRE1C","RPL39L","ATAD5","TMEM267","ZNF559","IFI44","C6ORF132","RAB8B",NA,"USF1","CYSTM1",NA,"FIS1",NA,"GAB3","PLAT",NA,"GALNT6","CR2","IFI35","MOK","KMT5A","PSMC3","CLIP4",NA,"BYSL","STEAP1B",NA,"HACD3","PFKP","CD79B"
"1114",NA,"MALAT1","SAMD9L","UBXN10","TNFRSF19","HOOK1","LIMA1","MRPS2","DDX39A",NA,"FAM20B","DDIT4",NA,"PFKM",NA,"PRKCQ-AS1","CDC42EP5",NA,"TMEM167B","NDUFS3","SF3B5","PDE4B","MAP3K5","SNX10","LMNA",NA,"G6PD","BEX1",NA,"MET","RPL10L","CTSO"
"1115",NA,"PRIM1","PTMS","ZNF692","GNG12","TAPBPL","LONP1","RTKN2","GUK1",NA,"FAM21C","IMPDH1",NA,"ARHGAP25",NA,"RBMX","ZNF367",NA,"ABHD3","YARS","TOMM5","REXO2","CASD1","AMIGO2","CAMK2N1",NA,"IRS2","G6PD",NA,"MYADM","AP1G2","DLX2"
"1116",NA,"RAB9A","SULT1B1","CISD1","LTBP3","TNFAIP8L1","PI4KA","F2RL1","MEF2C",NA,"ILF2","NONAME859",NA,"UNC93B1",NA,"TGFBR2","ACVR1",NA,"ENC1","CFL1","PRDX2","AP2M1","CYP4F2","HOMER2","CNKSR3",NA,"NDUFS5","KLHL28",NA,"ACYP1","ATP2B1","IGLV3-1"
"1117",NA,"SEC23A","TAGAP","LGALS9","NONAME774","HGF","CYB5R4","PAQR9","MSMO1",NA,"MRPL42","ORC6",NA,"CHCHD5",NA,"USP10","ADH5",NA,"FOS","PITRM1","ZYX","JAZF1","RNF24","B3GAT1","CROCCP2",NA,"STIM2","MEGF9",NA,"ARHGEF10","CD4","VAMP8"
"1118",NA,"SRRT","UHMK1","VPS39","PQLC3","PLCB4","FAM50A","SLC39A4","PARP14",NA,"C14ORF1","OXCT1",NA,"EEF1E1",NA,"FAM198B","CCM2L",NA,"GINS1","HPRT1","FNIP2","NEIL3","TMEM160","FEN1","KPNA4",NA,"TACC1","RNF141",NA,"HCFC1R1","MRPL37","ZNF593"
"1119",NA,"PABPC4","CREBRF","AGPAT5","TGFB3","ADGRE2","NFKBIE","CYB5A","PDGFRL",NA,"PRKCQ","RAB9A",NA,"SGK1",NA,"TIGD2","FAH",NA,"SLC35F5","TK1","MED6","PITX1","ACSL1","SLN","NCAN",NA,"AAED1","C3ORF52",NA,"NR3C2","RBMS1","DIXDC1"
"1120",NA,"PBDC1","DPY19L3","CD55","ALPK2","IPO5","SPPL2A","EML1","SNHG19",NA,"SAMD9","CD109",NA,"CTSC",NA,"TMEM14A","PTPN14",NA,"CPEB4","UTP14C","MRPS27","QDPR","AGA","THUMPD3","PLD3",NA,"ACBD5","FAR1",NA,"PTPN6","RUNX1-IT1","FGF2"
"1121",NA,"PPP2R1A","MXD1","CHCHD5","CAND2","AMOT","ZC3H12C","NDUFA5","SCARB2",NA,"SLC50A1","GOLM1",NA,"PDE7A",NA,"ZYX","REPS1",NA,"GLRX3","ZNF792","BPI","SATB2","CAST","FBLN1","SLC4A2",NA,"C1ORF216","PROS1",NA,"CREBRF","DYNLT3","SSC5D"
